tweet_id,text,sentiment,score,confidence,emotions,tone,keywords,explanation,likes,retweets,replies,views,created_at
10,"Aprendé a identificar a los mentirosos 

Si la cuenta de Galicia no tiene tilde de verificación, es una cuenta falsa.

Más info: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. Tenés Galicia ",neutral,55,85,"seguridad,confianza",informativo,"Galicia,cuenta falsa,verificación,seguridad,mentirosos","El tweet proporciona información y consejos de seguridad sobre cómo identificar cuentas falsas, lo que lo convierte en un mensaje principalmente informativo y neutral.",5,3,29,3000,2025-07-11 19:36:38+00:00
11,"Las habilidades de una ahorradora y experta en seguridad

¿Cómo identifico una promo falsa? 
Chequeá que la publicación sea desde una cuenta que tenga la tilde de verificación.
 Revisá que esté en nuestro buscador de promociones en 
Galicia.ar o tu App Galicia",positivo,75,85,"confianza,entusiasmo",informativo,"promo falsa,tilde verificación,buscador promociones","El tweet ofrece consejos útiles para identificar promociones falsas, lo cual genera una sensación positiva al proporcionar información valiosa y seguridad.",3,2,8,4000,2025-04-25 20:08:30+00:00
12,"Estamos en pascuas, pero... ¡NO LE CREAS!  

No le compartas tu Token Galicia a nadie, nunca te lo vamos a pedir para ayudarte. 

Tenés tips de seguridad.
Tenés Galicia.",positivo,70,85,"alegría,entusiasmo",informativo,"Token Galicia,seguridad,pascuas","El tweet combina una felicitación por las pascuas con una advertencia de seguridad, generando un sentimiento positivo y protector.",4,1,11,4000,2025-04-18 13:06:06+00:00
13,"Confiá en las personas, pero con precaución  

Las transferencias ""erróneas"" son una estafa bastante común. 
Antes de devolver la plata, tomate el tiempo para chequear que efectivamente esté en tu cuenta. 

Tenés tips de seguridad. 
Tenés Galicia ",neutral,60,85,precaución,informativo,"transferencias,estafa,seguridad,cuenta","El tweet proporciona información y consejos de seguridad sobre transferencias bancarias, manteniendo un tono neutral e informativo.",2,0,26,4000,2025-04-11 17:49:57+00:00
14,El Ratón también quería tener su figura de acción  Bancan chat?,positivo,75,80,"entusiasmo,alegría",conversacional,"Ratón,figura de acción,Bancan,chat","El tweet expresa entusiasmo y busca aprobación de la audiencia sobre la idea de una figura de acción del 'Ratón', lo que sugiere un sentimiento positivo general.",24,0,29,6000,2025-04-07 17:34:52+00:00
15,"Evitar las estafas telefónicas es más sencillo de lo que parece 

Frente a una llamada dudosa: 
1. Frená y pensá la situación. 
2. Chequeá si lo que te dicen es cierto. 
3. No compartas ningún dato, cortá la llamada y comunicate directamente con nosotros.",positivo,75,90,"confianza,seguridad",informativo,"estafas telefónicas,evitar,llamada dudosa","El tweet ofrece consejos para evitar estafas, generando un sentimiento positivo al proporcionar información útil y empoderadora.",8,1,8,4000,2025-04-04 20:12:39+00:00
16,"La imagen no carga... ¡y está bien! Detrás había un Token Galicia 

Es un dato personal y confidencial, NUNCA se tiene quecompartir.

Tenés tips de seguridad. Tenés Galicia ",positivo,70,85,"alegría,sorpresa",informativo,"Token Galicia,seguridad,compartir","El tweet, aunque menciona un problema inicial (imagen no carga), rápidamente adopta un tono positivo al enfatizar la importancia de la seguridad de la información personal. La frase '¡y está bien!' sugiere alivio y aprobación.",6,0,12,4000,2025-03-28 19:54:13+00:00
17,"El Ratón me pidió subirse a la tendencia, gente. ¿Les gusta cómo quedó?",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),42,7,10,5000,2025-03-28 19:42:41+00:00
18,"¿Cómo reconocer una cuenta falsa de Galicia?

Revisá si tiene la tilde de verificación.
Fijate si ese es uno de nuestros perfiles oficiales. 
Revisá la cantidad de seguidores y publicaciones.

Más info: 
galicia.ar/personas/preve
…",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),11,2,11,5000,2025-01-17 19:24:45+00:00
19,"CHICOS LES TENGO EL TIP DEL VERANO, si estan en Pinamar 
@BancoGalicia
 te lleva a recorrer la ciudad saliendo desde las 11:30hs en el Casino de Pinamar sobre Avenida Bunge haciendo paradas en Negroni, La Gamba, Cocodrilo y CR, Y LO BUENO DE ESTO? ES QUE ES TOTALMENTE GRATIS",positivo,70,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),32,2,4,9000,2025-01-17 15:05:47+00:00
20,"Laburaste todo el año y te vas a la playa. En Pinamar, relajate y subite al BUS Galicia: pasa por Negroni, La Gamba, Cocodrilo y CR. Sale 11:30 del Casino y está hasta las 19. Gratis: no gastás ni nafta ni paciencia. Ni tu amigo más obsesivo lo organizaba así. 
@BancoGalicia",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),288,12,26,16000,2025-01-15 16:03:14+00:00
21," Las promos más esperadas, los concursos más deseados y ideas para que hagas planazos con grandes ahorros. 
Sumate a nuestro canal de wpp: 
whatsapp.com/channel/0029Va
…  
 
Dice el Ratón Pérez que tiene varias sorpresas preparadas...",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),2,0,4,2000,2025-01-15 15:05:43+00:00
22,"Cuenten sus experiencias ¡Los leemos!  

Si tu cara de sorpresa fue por ser víctima de phishing, temenos tips de seguridad para vos: 
galicia.ar/personas/preve
…",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),2,2,23,4000,2025-01-10 15:01:31+00:00
23,"Si te llega un mail que dice ser nuestro pero te parece dudoso, mucha atención 

Tenés acceso a nuestra información oficial siempre acá: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. Tenés Galicia ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),6,1,14,5000,2025-01-03 19:32:44+00:00
24,"¡No toques esa promo! 

Frente a una publicación patrocinada dudosa, evitá hacer clic y asegurate de que sea una cuenta oficial de Galicia. En X, tiene la tilde de verificación dorada.

Tenés tips de seguridad.
Tenés Galicia.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),7,2,10,4000,2024-12-27 20:13:46+00:00
25,"A las transferencias ""equivocadas"", doble chequeo 

Conocé más sobre estafas: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. Tenés Galicia ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),9,4,13,3000,2024-11-22 19:39:33+00:00
26,"Frente a las cuentas falsas de Galicia, recordá que la tilde de verificado existe para salvarte de las estafas 

Tenés tips de seguridad. Tenés Galicia ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),5,1,15,3000,2024-11-15 18:42:42+00:00
27,Tenés tus #FinanzasAMano y los mejores tips para hacer compras online de la forma más segura y eficiente. ,positivo,85,90,"entusiasmo,alegría",promocional,"finanzas,compras online,segura,eficiente,tips","El tweet promueve información financiera útil y compras online seguras, lo cual genera un sentimiento positivo.",8,0,7,3000,2024-11-14 13:53:08+00:00
28,"TIP #6 Revisá tus resúmenes de cuentas bancarias y tarjetas de crédito. Si nunca los mirás, corrés el riesgo de que estén utilizando tus tarjetas y nunca lo sepas.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),4,0,1,2000,2024-11-14 13:55:21+00:00
29,"Los estafadores quieren tus datos, pero nosotros te damos la data. Encontrá más tips para evitar estafas acá: 
galicia.ar/personas/educa
…",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),1,0,1,2000,2024-11-14 14:10:56+00:00
30,TIP #1 Usá siempre conexiones seguras. Comprá desde una red wi-fi privada como la de tu casa o trabajo.,neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),2,0,1,206,2024-11-14 13:53:16+00:00
31,TIP #2 Revisá que la url del sitio en el que estás pagando corresponda al negocio en el que estás haciendo la compra.,neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),1,0,1,129,2024-11-14 13:54:24+00:00
32,"Están quienes tienen malicia jugando y los archivos maliciosos 

 Evitá que un malware ingrese a tu dispositivo, con estas recomendaciones que te compartimos.

Tenés tips de seguidad. Tenés Galicia.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),5,1,11,3000,2024-11-08 19:04:48+00:00
33,"¡Llegó el Cyber Monday! 

Del 4 al 6, pasá por Tienda Galicia y aprovechá con esta mega promo 

Conocé las promos acá: 
tienda.galicia.ar/evento/cybermo
…",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),5,0,24,5000,2024-11-04 13:52:00+00:00
34,"Acá encontrás de TODO y con descuento 

Pasate por la web de Farmacity y Simplicity y pagá con Galicia: 
galicia.ar/personas/busca
…",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),3,0,2,3000,2024-11-05 18:08:24+00:00
35,"Un gran disco puede llegar con artistas que no estaban invitados 

Evitá tener un Malware en tus dispositivos, siempre lo mejor es descargar todo de sitios oficiales.

Tenés tips de seguridad. Tenés Galicia ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),3,0,19,4000,2024-09-13 15:01:33+00:00
36,"La forma más fácil de identificar una cuenta falsa de Galicia es revisando si tiene tilde de verificación.

 Si la tiene, estás en el lugar correcto.

Tenés tips de Seguridad. 
Tenés Galicia",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),11,2,10,4000,2024-09-06 17:05:00+00:00
37,"No existe nada más urgente que tener tus datos personales protegidos 

 Si sufriste o sospechás una estafa, acordate que podés escribirnos las 24 horas, todos los días al 11 4439 8558 con la palabra ""Seguridad"".

Tenés tips de seguridad.
Tenés Galicia.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),7,2,22,4000,2024-08-30 15:43:35+00:00
38,"Chequear el resumen de la tarjeta con detenimiento puede ahorrarte un problemón 

Ante un movimiento extraño, podés pausarla desde la App Galicia y contactarnos.

Conocé más en 
galicia.ar/personas/preve
…

Tenés tips de seguridad. Tenés Galicia ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),8,1,15,4000,2024-08-23 17:00:02+00:00
39,"Cuando te conocés todos los tips de seguridad de Galicia, sos inmune a las estafas. 

Conocé más info: 
galicia.ar/personas/preve
…

Tenés Galicia ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),6,0,9,4000,2024-08-16 19:36:15+00:00
40,"Cosas que pasan… es común no tener citas  

Para evitar las estafas con tu tarjeta, recordá: 
Nunca perder de vista nuestra tarjeta.
Revisar seguido los movimientos.
Pausar la tarjeta ante cualquier consumo extraño. 

Tenés tips de seguridad. Tenés Galicia ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),7,1,10,5000,2024-08-09 15:42:30+00:00
41,¿Sabías que esta contraseña puede ser descifrada en menos de 1 segundo? Si este es tu caso hoy te enseñamos cómo crear contraseñas seguras.,neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),8,2,4,5000,2024-06-14 20:04:28+00:00
42,"Armala con:
-Mínimo 8 caracteres, mezclando letras y números
-Al menos 1 letra mayúscula y 1 minúscula 
-Un carácter especial: $%@! 

Tenés tips de seguridad. Tenés Galicia.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),3,1,5,3000,2024-06-14 20:04:47+00:00
43,"¡Cuidá tus datos! Recordá la regla de oro: ante la menor sospecha… no hagas click. Ingresá al link y conocé cómo cuidarte de esta y otras estafas: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. Tenés Galicia.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),8,1,11,5000,2024-06-07 21:13:20+00:00
44,"Este otoño se está haciendo sentir ¿no?  Tranqui, tenés promos que suben la térmica

Entrá y conocelas 
galicia.ar/personas/busca
…

Tenés promos. Tenés Galicia.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),4,0,4,4000,2024-06-06 20:04:39+00:00
45,"Hoy te contamos 3 tips para identificar cuentas que se hacen pasar por Galicia 

Para más info sobre estafas, chusmeá acá: 
galicia.ar/personas/preve
… 

Tenés tips de seguridad. Tenés Galicia ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),13,3,11,5000,2024-05-31 20:37:57+00:00
46,"Para vos, que sos hamburguesa lover, hoy es el día perfecto 

Chequeate estas promos y salí a disfrutar: 
galicia.ar/personas/busca
…ía

Tenés promos para festejar tu amor por las hamburguesas. Tenés Galicia",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),9,0,16,5000,2024-05-28 20:18:57+00:00
47,¿Qué hacés si te llaman para decirte que tu clave Galicia fue bloqueada?,neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),3,3,7,4000,2024-05-24 15:22:09+00:00
48,"Si algo pasara con tus claves Galicia, creenos que no te vamos a apurar así. Los estafadores sí.

Conocé cómo cuidarte de las estafas telefónicas acá:",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),3,1,1,3000,2024-05-24 15:22:28+00:00
49,"¿Leíste el comunicado y necesitás más información?

Ingresá a 
galicia.ar/personas/accio
…",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),12,1,20,5000,2024-05-21 12:41:58+00:00
